No.,Player,Pos,Ht,Wt,Birth Date,...7,Exp,College,team
55,Duncan Robinson,SG,6-7,215,"April 22, 1994",us,3,"Williams, Michigan",Miami Heat
17,P.J. Tucker,PF,6-5,245,"May 5, 1985",us,10,Texas,Miami Heat
31,Max Strus,SF,6-5,215,"March 28, 1996",us,2,"Lewis (IL), DePaul",Miami Heat
2,Gabe Vincent,PG,6-3,200,"June 14, 1996",us,2,UC Santa Barbara,Miami Heat
21,Dewayne Dedmon,C,7-0,245,"August 12, 1989",us,8,USC,Miami Heat
14,Tyler Herro,SG,6-5,195,"January 20, 2000",us,2,Kentucky,Miami Heat
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us,15,Villanova,Miami Heat
16,Caleb Martin,SF,6-5,205,"September 28, 1995",us,2,"NC State, Nevada",Miami Heat
22,Jimmy Butler,SF,6-7,230,"September 14, 1989",us,10,Marquette,Miami Heat
13,Bam Adebayo,C,6-9,255,"July 18, 1997",us,4,Kentucky,Miami Heat
77,Omer Yurtseven,C,7-0,264,"June 19, 1998",tr,R,"NC State, Georgetown",Miami Heat
24,Haywood Highsmith,SF,6-7,220,"December 9, 1996",us,1,Wheeling University,Miami Heat
8,Markieff Morris,PF,6-9,245,"September 2, 1989",us,10,Kansas,Miami Heat
40,Udonis Haslem,C,6-8,235,"June 9, 1980",us,18,Florida,Miami Heat
4,Victor Oladipo,SG,6-4,213,"May 4, 1992",us,8,Indiana,Miami Heat
15,Javonte Smart  (TW),PG,6-4,205,"June 3, 1999",us,R,LSU,Miami Heat
12,Mychal Mulder  (TW),PG,6-3,184,"June 12, 1994",ca,2,"Vincennes University, Kentucky",Miami Heat
12,Grant Williams,PF,6-6,236,"November 30, 1998",us,2,Tennessee,Boston Celtics
0,Jayson Tatum,SF,6-8,210,"March 3, 1998",us,4,Duke,Boston Celtics
36,Marcus Smart,PG,6-3,220,"March 6, 1994",us,7,Oklahoma State,Boston Celtics
11,Payton Pritchard,SG,6-1,195,"January 28, 1998",us,1,Oregon,Boston Celtics
42,Al Horford,C,6-9,240,"June 3, 1986",do,14,Florida,Boston Celtics
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",us,5,California,Boston Celtics
44,Robert Williams,C,6-8,237,"October 17, 1997",us,3,Texas A&M,Boston Celtics
26,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us,1,Vanderbilt,Boston Celtics
9,Derrick White,SG,6-4,190,"July 2, 1994",us,4,"Colorado-Colorado Springs, Colorado",Boston Celtics
30,Sam Hauser,SF,6-8,215,"December 8, 1997",us,R,"Marquette, Virginia",Boston Celtics
27,Daniel Theis,C,6-8,245,"April 4, 1992",de,4,,Boston Celtics
40,Luke Kornet,C,7-2,250,"July 15, 1995",us,4,Vanderbilt,Boston Celtics
97,Brodric Thomas  (TW),SG,6-5,185,"January 28, 1997",us,1,Truman State University,Boston Celtics
8,Malik Fitts,PF,6-8,230,"July 4, 1997",us,1,"South Florida, Saint Mary's",Boston Celtics
13,Nik Stauskas,SG,6-6,205,"October 7, 1993",ca,5,Michigan,Boston Celtics
37,Matt Ryan  (TW),SF,6-7,215,"April 17, 1997",us,R,"Notre Dame, Vanderbilt, Chattanooga",Boston Celtics
4,Juwan Morgan,PF,6-7,232,"April 17, 1997",us,2,Indiana,Boston Celtics
9,Bobby Portis,C,6-10,250,"February 10, 1995",us,6,Arkansas,Milwaukee Bucks
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr,8,,Milwaukee Bucks
21,Jrue Holiday,PG,6-3,205,"June 12, 1990",us,12,UCLA,Milwaukee Bucks
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us,9,Texas A&M,Milwaukee Bucks
7,Grayson Allen,SG,6-4,198,"October 8, 1995",us,3,Duke,Milwaukee Bucks
24,Pat Connaughton,SG,6-5,209,"January 6, 1993",us,6,Notre Dame,Milwaukee Bucks
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us,1,Louisville,Milwaukee Bucks
3,George Hill,SG,6-4,188,"May 4, 1986",us,13,IUPUI,Milwaukee Bucks
23,Wesley Matthews,SG,6-4,220,"October 14, 1986",us,12,Marquette,Milwaukee Bucks
43,Thanasis Antetokounmpo,SF,6-6,219,"July 18, 1992",gr,3,,Milwaukee Bucks
54,Sandro Mamukelashvili  (TW),PF,6-11,240,"May 23, 1999",us,R,Seton Hall,Milwaukee Bucks
5,Jevon Carter,PG,6-1,200,"September 14, 1995",us,3,West Virginia,Milwaukee Bucks
25,Serge Ibaka,PF,6-10,235,"September 18, 1989",cg,12,,Milwaukee Bucks
28,Lindell Wigginton  (TW),PG,6-2,189,"March 28, 1998",ca,R,Iowa State,Milwaukee Bucks
11,Brook Lopez,C,7-0,282,"April 1, 1988",us,13,Stanford,Milwaukee Bucks
59,Rayjon Tucker,SG,6-3,209,"September 24, 1997",us,2,"Florida Gulf Coast, Little Rock",Milwaukee Bucks
6,Luca Vildoza,PG,6-3,190,"August 11, 1995",ar,R,,Milwaukee Bucks
20,Georges Niang,PF,6-7,230,"June 17, 1993",us,5,Iowa State,Philadelphia 76ers
0,Tyrese Maxey,PG,6-2,200,"November 4, 2000",us,1,Kentucky,Philadelphia 76ers
12,Tobias Harris,PF,6-8,226,"July 15, 1992",us,10,Tennessee,Philadelphia 76ers
21,Joel Embiid,C,7-0,280,"March 16, 1994",cm,5,Kansas,Philadelphia 76ers
30,Furkan Korkmaz,SG,6-7,202,"July 24, 1997",tr,4,,Philadelphia 76ers
22,Matisse Thybulle,SG,6-5,201,"March 4, 1997",us,2,Washington,Philadelphia 76ers
14,Danny Green,SF,6-6,215,"June 22, 1987",us,12,UNC,Philadelphia 76ers
18,Shake Milton,PG,6-5,205,"September 26, 1996",us,3,SMU,Philadelphia 76ers
7,Isaiah Joe,SG,6-4,165,"July 2, 1999",us,1,Arkansas,Philadelphia 76ers
44,Paul Reed,C,6-9,210,"June 14, 1999",us,1,DePaul,Philadelphia 76ers
23,Charles Bassey,PF,6-11,235,"October 28, 2000",ng,R,Western Kentucky,Philadelphia 76ers
1,James Harden,SG,6-5,220,"August 26, 1989",us,12,Arizona State,Philadelphia 76ers
16,Charlie Brown Jr.,SG,6-6,199,"February 2, 1997",us,2,Saint Joseph's,Philadelphia 76ers
9,DeAndre Jordan,C,6-11,265,"July 21, 1988",us,13,Texas A&M,Philadelphia 76ers
5,Myles Powell  (TW),PG,6-2,195,"July 7, 1997",us,R,Seton Hall,Philadelphia 76ers
8,Paul Millsap,PF,6-7,257,"February 10, 1985",us,15,Louisiana Tech,Philadelphia 76ers
11,Jaden Springer,SG,6-4,204,"September 25, 2002",us,R,Tennessee,Philadelphia 76ers
25,Chris Boucher,PF,6-9,200,"January 11, 1993",lc,4,Oregon,Toronto Raptors
4,Scottie Barnes,PF,6-9,227,"August 1, 2001",us,R,Florida State,Toronto Raptors
5,Precious Achiuwa,C,6-8,225,"September 19, 1999",ng,1,Memphis,Toronto Raptors
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,3,Duke,Toronto Raptors
43,Pascal Siakam,PF,6-9,230,"April 2, 1994",cm,5,New Mexico State,Toronto Raptors
23,Fred VanVleet,PG,6-1,197,"February 25, 1994",us,5,Wichita State,Toronto Raptors
45,Dalano Banton,PG,6-9,204,"November 7, 1999",ca,R,Nebraska,Toronto Raptors
14,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua,3,Kansas,Toronto Raptors
24,Khem Birch,C,6-9,233,"September 28, 1992",ca,4,"Pitt, UNLV",Toronto Raptors
3,OG Anunoby,SF,6-7,232,"July 17, 1997",gb,4,Indiana,Toronto Raptors
22,Malachi Flynn,PG,6-1,175,"May 10, 1998",us,1,"Washington State, San Diego State",Toronto Raptors
18,Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp,3,George Washington,Toronto Raptors
11,Justin Champagnie  (TW),SF,6-6,200,"June 29, 2001",us,R,Pitt,Toronto Raptors
21,Thaddeus Young,PF,6-8,235,"June 21, 1988",us,14,Georgia Tech,Toronto Raptors
17,Isaac Bonga,SF,6-8,180,"November 8, 1999",de,3,,Toronto Raptors
1,Armoni Brooks,PG,6-3,195,"June 5, 1998",us,1,Houston,Toronto Raptors
13,David Johnson  (TW),SG,6-5,210,"February 26, 2001",us,R,Louisville,Toronto Raptors
12,Ayo Dosunmu,SG,6-5,200,"January 17, 2000",us,R,Illinois,Chicago Bulls
11,DeMar DeRozan,PF,6-6,220,"August 7, 1989",us,12,USC,Chicago Bulls
9,Nikola Vučević,C,6-10,260,"October 24, 1990",ch,10,USC,Chicago Bulls
8,Zach LaVine,SF,6-5,200,"March 10, 1995",us,7,UCLA,Chicago Bulls
7,Troy Brown Jr.,SF,6-6,215,"July 28, 1999",us,3,Oregon,Chicago Bulls
24,Javonte Green,SF,6-4,205,"July 23, 1993",us,2,Radford,Chicago Bulls
0,Coby White,PG,6-5,195,"February 16, 2000",us,2,UNC,Chicago Bulls
13,Tony Bradley,C,6-10,248,"January 8, 1998",us,4,UNC,Chicago Bulls
5,Derrick Jones Jr.,PF,6-5,210,"February 15, 1997",us,5,UNLV,Chicago Bulls
6,Alex Caruso,SG,6-4,186,"February 28, 1994",us,4,Texas A&M,Chicago Bulls
21,Matt Thomas,SG,6-4,190,"August 4, 1994",us,2,Iowa State,Chicago Bulls
2,Lonzo Ball,PG,6-6,190,"October 27, 1997",us,4,UCLA,Chicago Bulls
3,Tristan Thompson,PF,6-9,254,"March 13, 1991",ca,10,Texas,Chicago Bulls
25,Tyler Cook  (TW),PF,6-8,255,"September 23, 1997",us,2,Iowa,Chicago Bulls
44,Patrick Williams,PF,6-7,215,"August 26, 2001",us,1,Florida State,Chicago Bulls
14,Malcolm Hill  (TW),SF,6-6,220,"October 26, 1995",us,R,Illinois,Chicago Bulls
19,Marko Simonovic,C,6-11,216,"October 15, 1999",me,R,,Chicago Bulls
8,Patty Mills,PG,6-1,180,"August 11, 1988",au,12,Saint Mary's,Brooklyn Nets
1,Bruce Brown,SF,6-4,202,"August 15, 1996",us,3,Miami (FL),Brooklyn Nets
24,Cam Thomas,SG,6-4,210,"October 13, 2001",jp,R,LSU,Brooklyn Nets
2,Blake Griffin,PF,6-9,250,"March 16, 1989",us,11,Oklahoma,Brooklyn Nets
7,Kevin Durant,PF,6-10,240,"September 29, 1988",us,13,Texas,Brooklyn Nets
14,Kessler Edwards,SF,6-8,215,"August 9, 2000",us,R,Pepperdine,Brooklyn Nets
21,LaMarcus Aldridge,C,6-11,250,"July 19, 1985",us,15,Texas,Brooklyn Nets
33,Nic Claxton,C,6-11,215,"April 17, 1999",us,2,Georgia,Brooklyn Nets
20,Day'Ron Sharpe,PF,6-11,265,"November 6, 2001",us,R,UNC,Brooklyn Nets
11,Kyrie Irving,PG,6-2,195,"March 23, 1992",au,10,Duke,Brooklyn Nets
"0, 4",Andre Drummond,C,6-10,279,"August 10, 1993",us,9,UConn,Brooklyn Nets
6,David Duke Jr.  (TW),PG,6-5,205,"October 13, 1999",us,R,Providence,Brooklyn Nets
30,Seth Curry,SG,6-2,185,"August 23, 1990",us,7,"Liberty, Duke",Brooklyn Nets
9,Goran Dragić,PG,6-3,190,"May 6, 1986",si,13,,Brooklyn Nets
12,Joe Harris,SF,6-6,220,"September 6, 1991",us,7,Virginia,Brooklyn Nets
,Ben Simmons,PG,6-11,240,"July 20, 1996",au,4,LSU,Brooklyn Nets
0,Kevin Love,PF,6-8,251,"September 7, 1988",us,13,UCLA,Cleveland Cavaliers
4,Evan Mobley,PF,7-0,215,"June 18, 2001",us,R,USC,Cleveland Cavaliers
10,Darius Garland,PG,6-1,192,"January 26, 2000",us,2,Vanderbilt,Cleveland Cavaliers
35,Isaac Okoro,SF,6-5,225,"January 26, 2001",us,1,Auburn,Cleveland Cavaliers
16,Cedi Osman,SF,6-7,230,"April 8, 1995",mk,4,,Cleveland Cavaliers
8,Lamar Stevens,PF,6-6,230,"July 9, 1997",us,1,Penn State,Cleveland Cavaliers
24,Lauri Markkanen,PF,7-0,240,"May 22, 1997",fi,4,Arizona,Cleveland Cavaliers
31,Jarrett Allen,C,6-11,243,"April 21, 1998",us,4,Texas,Cleveland Cavaliers
32,Dean Wade,PF,6-9,228,"November 20, 1996",us,2,Kansas State,Cleveland Cavaliers
9,Dylan Windler,SF,6-6,196,"September 22, 1996",us,1,Belmont,Cleveland Cavaliers
"00, 26",Brandon Goodwin  (TW),PG,6-0,180,"October 2, 1995",us,3,"Central Florida, Florida Gulf Coast",Cleveland Cavaliers
21,Ed Davis,C,6-9,218,"June 5, 1989",us,11,UNC,Cleveland Cavaliers
1,Rajon Rondo,PG,6-1,180,"February 22, 1986",us,15,Kentucky,Cleveland Cavaliers
3,Caris LeVert,SG,6-6,205,"August 25, 1994",us,5,Michigan,Cleveland Cavaliers
6,Moses Brown,C,7-2,245,"October 13, 1999",us,2,UCLA,Cleveland Cavaliers
5,RJ Nembhard Jr.  (TW),SG,6-5,200,"March 22, 1999",us,R,TCU,Cleveland Cavaliers
2,Collin Sexton,SG,6-1,190,"January 4, 1999",us,3,Alabama,Cleveland Cavaliers
0,Delon Wright,SG,6-5,185,"April 26, 1992",us,6,Utah,Atlanta Hawks
11,Trae Young,PG,6-1,164,"September 19, 1998",us,3,Oklahoma,Atlanta Hawks
3,Kevin Huerter,SG,6-7,190,"August 27, 1998",us,3,Maryland,Atlanta Hawks
15,Clint Capela,C,6-10,240,"May 18, 1994",ch,7,,Atlanta Hawks
8,Danilo Gallinari,PF,6-10,233,"August 8, 1988",it,12,,Atlanta Hawks
13,Bogdan Bogdanović,SG,6-6,220,"August 18, 1992",rs,4,,Atlanta Hawks
6,Lou Williams,PG,6-1,175,"October 27, 1986",us,16,,Atlanta Hawks
20,John Collins,PF,6-9,235,"September 23, 1997",us,4,Wake Forest,Atlanta Hawks
12,De'Andre Hunter,SF,6-8,225,"December 2, 1997",us,2,Virginia,Atlanta Hawks
7,Timothé Luwawu-Cabarrot,SF,6-7,220,"May 9, 1995",fr,5,,Atlanta Hawks
17,Onyeka Okongwu,C,6-8,235,"December 11, 2000",us,1,USC,Atlanta Hawks
10,Gorgui Dieng,C,6-10,252,"January 18, 1990",sn,8,Louisville,Atlanta Hawks
4,Skylar Mays,SG,6-4,205,"September 5, 1997",us,1,LSU,Atlanta Hawks
1,Jalen Johnson,PF,6-9,220,"December 18, 2001",us,R,Duke,Atlanta Hawks
5,Kevin Knox,SF,6-7,215,"August 11, 1999",us,3,Kentucky,Atlanta Hawks
2,Sharife Cooper  (TW),PG,6-1,180,"June 11, 2001",us,R,Auburn,Atlanta Hawks
45,Chaundee Brown Jr.  (TW),SG,6-5,215,"December 4, 1998",us,R,"Wake Forest, Michigan",Atlanta Hawks
0,Miles Bridges,PF,6-6,225,"March 21, 1998",us,3,Michigan State,Charlotte Hornets
12,Kelly Oubre Jr.,SF,6-7,203,"December 9, 1995",us,6,Kansas,Charlotte Hornets
2,LaMelo Ball,PG,6-7,180,"August 22, 2001",us,1,,Charlotte Hornets
3,Terry Rozier,SG,6-1,190,"March 17, 1994",us,6,Louisville,Charlotte Hornets
24,Mason Plumlee,C,6-11,254,"March 5, 1990",us,8,Duke,Charlotte Hornets
11,Cody Martin,SF,6-5,205,"September 28, 1995",us,2,"NC State, Nevada",Charlotte Hornets
25,P.J. Washington,PF,6-7,230,"August 23, 1998",us,2,Kentucky,Charlotte Hornets
6,Jalen McDaniels,SF,6-9,205,"January 31, 1998",us,2,San Diego State,Charlotte Hornets
14,Nick Richards,C,7-0,245,"November 29, 1997",jm,1,Kentucky,Charlotte Hornets
20,Gordon Hayward,SF,6-7,225,"March 23, 1990",us,11,Butler,Charlotte Hornets
21,JT Thor,PF,6-10,205,"August 26, 2002",us,R,Auburn,Charlotte Hornets
5,James Bouknight,SG,6-5,190,"September 18, 2000",us,R,UConn,Charlotte Hornets
8,Montrezl Harrell,C,6-7,240,"January 26, 1994",us,6,Louisville,Charlotte Hornets
23,Kai Jones,C,6-11,218,"January 19, 2001",bs,R,Texas,Charlotte Hornets
4,Isaiah Thomas,PG,5-9,185,"February 7, 1989",us,10,Washington,Charlotte Hornets
16,Scottie Lewis  (TW),SG,6-5,189,"March 12, 2000",us,R,Florida,Charlotte Hornets
98,Arnoldas Kulboka  (TW),SF,6-9,198,"January 4, 1998",lt,R,,Charlotte Hornets
18,Alec Burks,SG,6-6,214,"July 20, 1991",us,10,Colorado,New York Knicks
13,Evan Fournier,SG,6-7,205,"October 29, 1992",fr,9,,New York Knicks
5,Immanuel Quickley,PG,6-3,190,"June 17, 1999",us,1,Kentucky,New York Knicks
30,Julius Randle,PF,6-8,250,"November 29, 1994",us,7,Kentucky,New York Knicks
1,Obi Toppin,PF,6-9,220,"March 4, 1998",us,1,Dayton,New York Knicks
23,Mitchell Robinson,C,7-0,240,"April 1, 1998",us,3,Western Kentucky,New York Knicks
9,RJ Barrett,SF,6-6,214,"June 14, 2000",ca,2,Duke,New York Knicks
67,Taj Gibson,C,6-9,232,"June 24, 1985",us,12,USC,New York Knicks
6,Quentin Grimes,SG,6-5,205,"May 8, 2000",us,R,"Kansas, Houston",New York Knicks
45,Jericho Sims  (TW),PF,6-10,245,"October 20, 1998",us,R,Texas,New York Knicks
2,Miles McBride,PG,6-2,200,"September 8, 2000",us,R,West Virginia,New York Knicks
8,Kemba Walker,PG,6-0,184,"May 8, 1990",us,10,UConn,New York Knicks
4,Derrick Rose,PG,6-2,200,"October 4, 1988",us,12,Memphis,New York Knicks
3,Nerlens Noel,C,6-11,220,"April 10, 1994",us,7,Kentucky,New York Knicks
21,Cam Reddish,SF,6-8,218,"September 1, 1999",us,2,Duke,New York Knicks
51,Ryan Arcidiacono,PG,6-3,195,"March 26, 1994",us,4,Villanova,New York Knicks
16,Feron Hunt  (TW),SF,6-8,195,"July 5, 1999",us,R,SMU,New York Knicks
9,Deni Avdija,SF,6-9,210,"January 3, 2001",il,1,,Washington Wizards
1,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",us,8,Georgia,Washington Wizards
24,Corey Kispert,SF,6-7,220,"March 3, 1999",us,R,Gonzaga,Washington Wizards
21,Daniel Gafford,C,6-10,234,"October 1, 1998",us,2,Arkansas,Washington Wizards
19,Raul Neto,PG,6-1,180,"May 19, 1992",br,6,,Washington Wizards
33,Kyle Kuzma,PF,6-9,221,"July 24, 1995",us,4,Utah,Washington Wizards
16,Anthony Gill,PF,6-7,230,"October 17, 1992",us,1,"South Carolina, Virginia",Washington Wizards
8,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp,2,Gonzaga,Washington Wizards
3,Bradley Beal,SG,6-4,207,"June 28, 1993",us,9,Florida,Washington Wizards
4,Ish Smith,PG,6-0,175,"July 5, 1988",us,11,Wake Forest,Washington Wizards
13,Thomas Bryant,C,6-10,248,"July 31, 1997",us,4,Indiana,Washington Wizards
31,Tomáš Satoranský,SG,6-7,210,"October 30, 1991",cz,5,,Washington Wizards
6,Kristaps Porziņģis,PF,7-3,240,"August 2, 1995",lv,5,,Washington Wizards
14,Isaiah Todd,PF,6-10,220,"October 17, 2001",us,R,,Washington Wizards
5,Cassius Winston  (TW),PG,6-1,185,"February 28, 1998",us,1,Michigan State,Washington Wizards
20,Jordan Schakel  (TW),SG,6-6,200,"June 13, 1998",us,R,San Diego State,Washington Wizards
22,Vernon Carey Jr.,C,6-9,270,"February 25, 2001",us,1,Duke,Washington Wizards
12,Oshae Brissett,SF,6-7,210,"June 20, 1998",ca,2,Syracuse,Indiana Pacers
3,Chris Duarte,SG,6-6,190,"June 13, 1997",ca,R,Oregon,Indiana Pacers
88,Goga Bitadze,C,6-11,250,"July 20, 1999",ge,2,,Indiana Pacers
4,Duane Washington Jr.,PG,6-3,210,"March 24, 2000",de,R,Ohio State,Indiana Pacers
33,Myles Turner,C,6-11,250,"March 24, 1996",us,6,Texas,Indiana Pacers
6,Lance Stephenson,SG,6-6,230,"September 5, 1990",us,9,Cincinnati,Indiana Pacers
7,Malcolm Brogdon,PG,6-5,229,"December 11, 1992",us,5,Virginia,Indiana Pacers
23,Isaiah Jackson,PF,6-10,206,"January 10, 2002",us,R,Kentucky,Indiana Pacers
32,Terry Taylor,SG,6-5,230,"September 23, 1999",us,R,Austin Peay State University,Indiana Pacers
9,T.J. McConnell,PG,6-1,190,"March 25, 1992",us,6,"Duquesne, Arizona",Indiana Pacers
24,Buddy Hield,SG,6-4,220,"December 17, 1992",bs,5,Oklahoma,Indiana Pacers
0,Tyrese Haliburton,PG,6-5,185,"February 29, 2000",us,1,Iowa State,Indiana Pacers
25,Jalen Smith,PF,6-10,215,"March 16, 2000",us,1,Maryland,Indiana Pacers
8,Gabe York  (TW),SG,6-3,185,"August 2, 1993",us,R,Arizona,Indiana Pacers
14,Nate Hinton  (TW),SG,6-5,210,"June 8, 1999",us,1,Houston,Indiana Pacers
NA,Ricky Rubio,PG,6-2,190,"October 21, 1990",es,10,,Indiana Pacers
NA,T.J. Warren,SF,6-8,220,"September 5, 1993",us,7,NC State,Indiana Pacers
41,Saddiq Bey,SF,6-7,215,"April 9, 1999",us,1,Villanova,Detroit Pistons
28,Isaiah Stewart,C,6-8,250,"May 22, 2001",us,1,Washington,Detroit Pistons
7,Killian Hayes,PG,6-5,195,"July 27, 2001",us,1,,Detroit Pistons
18,Cory Joseph,PG,6-3,200,"August 20, 1991",ca,10,Texas,Detroit Pistons
2,Cade Cunningham,PG,6-6,220,"September 25, 2001",us,R,Oklahoma State,Detroit Pistons
6,Hamidou Diallo,SG,6-5,202,"July 31, 1998",us,3,Kentucky,Detroit Pistons
5,Frank Jackson,PG,6-3,205,"May 4, 1998",us,3,Duke,Detroit Pistons
17,Rodney McGruder,SG,6-4,205,"July 29, 1991",us,5,Kansas State,Detroit Pistons
9,Jerami Grant,PF,6-8,210,"March 12, 1994",us,7,Syracuse,Detroit Pistons
13,Kelly Olynyk,C,6-11,240,"April 19, 1991",ca,8,Gonzaga,Detroit Pistons
38,Saben Lee,PG,6-2,183,"June 23, 1999",us,1,Vanderbilt,Detroit Pistons
55,Luka Garza,C,6-11,235,"December 27, 1998",us,R,Iowa,Detroit Pistons
12,Isaiah Livers,SF,6-7,230,"July 28, 1998",us,R,Michigan,Detroit Pistons
35,Marvin Bagley III,PF,6-11,235,"March 14, 1999",us,3,Duke,Detroit Pistons
24,Jamorko Pickett  (TW),PF,6-9,206,"December 24, 1997",us,R,Georgetown,Detroit Pistons
8,Braxton Key  (TW),SF,6-8,230,"February 14, 1997",us,R,"Alabama, Virginia",Detroit Pistons
20,Carsen Edwards,SG,5-11,200,"March 12, 1998",us,2,Purdue,Detroit Pistons
22,Franz Wagner,SF,6-9,225,"August 27, 2001",de,R,Michigan,Orlando Magic
5,Mo Bamba,C,7-0,231,"May 12, 1998",us,3,Texas,Orlando Magic
3,Chuma Okeke,PF,6-6,229,"August 18, 1998",us,1,Auburn,Orlando Magic
50,Cole Anthony,PG,6-2,185,"May 15, 2000",us,1,UNC,Orlando Magic
13,R.J. Hampton,SG,6-4,175,"February 7, 2001",us,1,,Orlando Magic
31,Terrence Ross,SG,6-6,206,"February 5, 1991",us,9,Washington,Orlando Magic
21,Moritz Wagner,C,6-11,245,"April 26, 1997",de,3,Michigan,Orlando Magic
34,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us,3,Duke,Orlando Magic
14,Gary Harris,SG,6-4,210,"September 14, 1994",us,7,Michigan State,Orlando Magic
4,Jalen Suggs,PG,6-4,205,"June 3, 2001",us,R,Gonzaga,Orlando Magic
17,Ignas Brazdeikis  (TW),SF,6-6,221,"January 8, 1999",lt,2,Michigan,Orlando Magic
25,Admiral Schofield  (TW),SF,6-5,241,"March 30, 1997",gb,1,Tennessee,Orlando Magic
33,Robin Lopez,C,7-0,281,"April 1, 1988",us,13,Stanford,Orlando Magic
20,Markelle Fultz,PG,6-3,209,"May 29, 1998",us,4,Washington,Orlando Magic
30,Devin Cannady,PG,6-2,183,"May 21, 1996",us,1,Princeton,Orlando Magic
NA,Jonathan Isaac,PF,6-11,230,"October 3, 1997",us,3,Florida State,Orlando Magic
NA,Bol Bol,PF,7-2,220,"November 16, 1999",sd,2,Oregon,Orlando Magic
25,Mikal Bridges,SF,6-6,209,"August 30, 1996",us,3,Villanova,Phoenix Suns
0,JaVale McGee,C,7-0,270,"January 19, 1988",us,13,Nevada,Phoenix Suns
14,Landry Shamet,SG,6-4,190,"March 13, 1997",us,3,Wichita State,Phoenix Suns
1,Devin Booker,SG,6-5,206,"October 30, 1996",us,6,Kentucky,Phoenix Suns
99,Jae Crowder,PF,6-6,235,"July 6, 1990",us,9,Marquette,Phoenix Suns
